category_id,device_id,slnumber,imei,recievedate
3,42,,0358899054102002,7/4/2015
3,42,,0358899054105559,7/4/2015
3,42,,0358899054096287,7/4/2015
3,42,,0358899054105948,7/4/2015
3,42,,0358899054105005,7/4/2015
3,42,,0358899054101111,7/4/2015
3,42,,0358899054096188,7/4/2015
3,42,,0358899054103323,7/4/2015
3,42,,0358899054105450,7/4/2015
3,42,,0358899054104362,7/4/2015
3,42,,0358899054104602,7/4/2015
3,42,,0358899054101558,7/4/2015
3,42,,0358899054103414,7/4/2015
3,42,,0358899054096329,7/4/2015
3,42,,0358899054104552,7/4/2015
3,42,,0358899054096311,7/4/2015
3,42,,0358899054103521,7/4/2015
3,42,,0358899054102325,7/4/2015
3,42,,0358899054103935,7/4/2015
3,42,,0358899054117216,7/4/2015
3,42,,0358899054100873,7/4/2015
3,42,,0358899054101624,7/4/2015
3,42,,0358899054117893,7/4/2015
3,42,,0358899054105302,7/4/2015
3,42,,0358899054103372,7/4/2015
