category_id,device_id,slnumber,imei,recievedate
1,44,05125521,356173061485848,07-09-15
1,44,05142091,356173061284217,07-09-15
1,44,05125422,356173061655051,07-09-15
1,44,05142124,356173061768888,07-09-15
1,44,05125597,356173061736745,07-09-15
1,44,05125527,356173061483363,07-09-15
1,44,05142154,356173061372707,07-09-15
1,44,05142108,356173061371899,07-09-15
1,44,05125490,356173061670142,07-09-15
1,44,05142146,356173061478397,07-09-15
1,44,05125433,356173061656612,07-09-15
1,44,05125545,356173061273806,07-09-15
1,44,05125503,356173061673831,07-09-15
1,44,05125434,356173061672379,07-09-15
1,44,05125510,356173061652371,07-09-15
1,44,05125506,356173061493222,07-09-15
1,44,05125552,356173061416769,07-09-15
1,44,05125426,356173061674201,07-09-15
1,44,05142149,356173061284555,07-09-15
1,44,05125500,356173061492661,07-09-15
1,44,05125603,356173061649096,07-09-15
1,44,05142130,356173061462896,07-09-15
1,44,05142102,356173061284324,07-09-15
1,44,05142084,356173061473794,07-09-15
