category_id,device_id,slnumber,imei,recievedate
2,48,zxxp2100328,0358899054706836,6/25/2015
2,48,zxxp2100209,0358899054705648,6/25/2015
2,48,zxxp2100336,0358899054706919,6/25/2015
2,48,zxxp2100294,0358899054706497,6/25/2015
2,48,zxxp2100687,0358899054710424,6/25/2015
2,48,zxxp2100244,0358899054705994,6/25/2015
2,48,zxxp2100156,0358899054705119,6/25/2015
2,48,zxxp2100682,0358899054710374,6/25/2015
2,48,zxxp2100868,0358899054712230,6/25/2015
2,48,zxxp2100566,0358899054709210,6/25/2015
2,48,zxxp2100753,0358899054711083,6/25/2015
2,48,zxxp2100679,0358899054710341,6/25/2015
2,48,zxxp2100725,0358899054710804,6/25/2015
2,48,zxxp2100690,0358899054710457,6/25/2015
2,48,zxxp2100967,0358899054713220,6/25/2015
2,48,zxxp2100415,0358899054707701,6/25/2015
2,48,zxxp2100650,0358899054710051,6/25/2015
2,48,zxxp2100698,0358899054710531,6/25/2015
2,48,zxxp2100863,0358899054712180,6/25/2015
2,48,zxxp2100124,0358899054704799,6/25/2015
2,48,zxxp2100722,0358899054710770,6/25/2015
2,48,zxxp2100726,0358899054710812,6/25/2015
2,48,zxxp2100157,0358899054705127,6/25/2015
2,48,zxxp2100714,0358899054710697,6/25/2015
2,48,zxxp2100970,0358899054713253,6/25/2015
2,48,zxxp2100909,0358899054712644,6/25/2015
2,48,zxxp2100142,0358899054704971,6/25/2015
2,48,zxxp2100749,0358899054711042,6/25/2015
2,48,zxxp2100521,0358899054708766,6/25/2015
2,48,zxxp2100507,0358899054708626,6/25/2015
2,48,zxxp2100472,0358899054708279,6/25/2015
2,48,zxxp2100256,0358899054706117,6/25/2015
2,48,zxxp2100283,0358899054706380,6/25/2015
2,48,zxxp2100466,0358899054708212,6/25/2015
2,48,zxxp2100537,0358899054708923,6/25/2015
2,48,zxxp2100476,0358899054708311,6/25/2015
2,48,zxxp2100497,0358899054708527,6/25/2015
2,48,zxxp2100553,0358899054709087,6/25/2015
2,48,zxxp2100307,0358899054706620,6/25/2015
2,48,zxxp2100436,0358899054707917,6/25/2015
2,48,zxxp2100513,0358899054708683,6/25/2015
2,48,zxxp2100313,0358899054706687,6/25/2015
2,48,zxxp2100270,0358899054706257,6/25/2015
2,48,zxxp2100519,0358899054708741,6/25/2015
2,48,zxxp2100216,0358899054705713,6/25/2015
2,48,zxxp2100217,0358899054705721,6/25/2015
2,48,zxxp2100509,0358899054708642,6/25/2015
2,48,zxxp2100296,0358899054706513,6/25/2015
2,48,zxxp2100524,0358899054708790,6/25/2015
2,48,zxxp2100554,0358899054709095,6/25/2015
