category_id,device_id,slnumber,imei,recievedate
3,42,,0358899054122026,15-23-07
3,42,,0358899054121614,15-23-07
3,42,,0358899054098432,15-23-07
3,42,,0358899054108249,15-23-07
3,42,,0358899054121663,15-23-07
3,42,,0358899054101616,15-23-07
3,42,,0358899054100220,15-23-07
3,42,,0358899054108025,15-23-07
3,42,,0358899054101210,15-23-07
3,42,,0358899054100121,15-23-07
3,42,,0358899054104099,15-23-07
3,42,,0358899054121929,15-23-07
3,42,,0358899054097970,15-23-07
3,42,,0358899054122257,15-23-07
3,42,,0358899054104339,15-23-07
3,42,,0358899054121820,15-23-07
3,42,,0358899054102010,15-23-07
3,42,,0358899054105419,15-23-07
3,42,,0358899054121739,15-23-07
3,42,,0358899054095552,15-23-07
3,42,,0358899054104420,15-23-07
3,42,,0358899054102184,15-23-07
3,42,,0358899054101962,15-23-07
3,42,,0358899054097830,15-23-07
3,42,,0358899054121796,15-23-07
3,42,,0358899054104230,15-23-07
3,42,,0358899054121754,15-23-07
3,42,,0358899054121861,15-23-07
3,42,,0358899054097863,15-23-07
3,42,,0358899054122844,15-23-07
3,42,,0358899054095495,15-23-07
3,42,,0358899054123131,15-23-07
3,42,,0358899054096303,15-23-07
3,42,,0358899054097038,15-23-07
3,42,,0358899054103471,15-23-07
3,42,,0358899054097848,15-23-07
3,42,,0358899054105682,15-23-07
3,42,,0358899054113975,15-23-07
3,42,,0358899054100899,15-23-07
3,42,,0358899054103133,15-23-07
3,42,,0358899054112803,15-23-07
3,42,,0358899054100295,15-23-07
3,42,,0358899054121747,15-23-07
3,42,,0358899054102978,15-23-07
3,42,,0358899054119097,15-23-07
3,42,,0358899054117794,15-23-07
3,42,,0358899054093938,15-23-07
3,42,,0358899054103455,15-23-07
3,42,,0358899054097897,15-23-07
3,42,,0358899054117653,15-23-07
